name,time,length,WPM,TER,NCER
cx,203.036331,138,8.156176,0.2391304347826087,0.18115942028985507
cyl,292.679871,162,6.64206934,0.345679012345679,0.0
dyh,179.642,141,9.418733,0.07801418439716312,0.014184397163120567
fjy,148.741089,130,10.4880228,0.03076923076923077,0.0
lhz,239.107208,144,7.226884,0.24305555555555555,0.0
ljh,125.535309,143,13.6694613,0.013986013986013986,0.006993006993006993
lyc,166.658188,136,9.792499,0.04411764705882353,0.007352941176470588
qym,289.972229,166,6.869623,0.16265060240963855,0.006024096385542169
zby,204.693161,153,8.969522,0.1437908496732026,0.0
zzc,209.548431,170,9.73522,0.11764705882352941,0.0058823529411764705
